# asl md5 61e672562465725a8c102288a7da9098
# name	cpu	form	exit	footer	bytes	error
sp_ixl	z80undoc	ld a,ixl	0	complete	DD 7D	
sp_ixu	z80undoc	ld a,ixu	0	complete	DD 7C	
sp_ixh	z80undoc	ld a,ixh	0	complete	DD 7C	
sp_iyl	z80undoc	ld a,iyl	0	complete	FD 7D	
sp_iyu	z80undoc	ld a,iyu	0	complete	FD 7C	
sp_iyh	z80undoc	ld a,iyh	0	complete	FD 7C	
sp_IXL	z80undoc	ld a,IXL	0	complete	DD 7D	
sp_IXU	z80undoc	ld a,IXU	0	complete	DD 7C	
sp_IXH	z80undoc	ld a,IXH	0	complete	DD 7C	
sp_IYL	z80undoc	ld a,IYL	0	complete	FD 7D	
sp_IYU	z80undoc	ld a,IYU	0	complete	FD 7C	
sp_IYH	z80undoc	ld a,IYH	0	complete	FD 7C	
sp_IxL	z80undoc	ld a,IxL	0	complete	DD 7D	
sp_iXu	z80undoc	ld a,iXu	0	complete	DD 7C	
sp_Iyh	z80undoc	ld a,Iyh	0	complete	FD 7C	
sp_lx	z80undoc	ld a,lx	2	complete		error #1010: symbol undefined
sp_hx	z80undoc	ld a,hx	2	complete		error #1010: symbol undefined
sp_xl	z80undoc	ld a,xl	2	complete		error #1010: symbol undefined
sp_xh	z80undoc	ld a,xh	2	complete		error #1010: symbol undefined
sp_ly	z80undoc	ld a,ly	2	complete		error #1010: symbol undefined
sp_hy	z80undoc	ld a,hy	2	complete		error #1010: symbol undefined
sp_yl	z80undoc	ld a,yl	2	complete		error #1010: symbol undefined
sp_yh	z80undoc	ld a,yh	2	complete		error #1010: symbol undefined
sp_ixlo	z80undoc	ld a,ixlo	2	complete		error #1010: symbol undefined
sp_ixhi	z80undoc	ld a,ixhi	2	complete		error #1010: symbol undefined
sp_ixdotl	z80undoc	ld a,ix.l	2	complete		error #1010: symbol undefined
sp_ixdoth	z80undoc	ld a,ix.h	2	complete		error #1010: symbol undefined
spd_ixh	z80undoc	ld ixh,a	0	complete	DD 67	
spd_iyh	z80undoc	ld iyh,a	0	complete	FD 67	
spd_IXH	z80undoc	ld IXH,a	0	complete	DD 67	
doc_ixl	z80	ld a,ixl	2	complete		error #1010: symbol undefined
docsym_ixl	z80	ld a,ixl	0	complete	3E 05	
undsym_ixl	z80undoc	ld a,ixl	0	complete	DD 7D	
doc_ixu	z80	ld a,ixu	2	complete		error #1010: symbol undefined
docsym_ixu	z80	ld a,ixu	0	complete	3E 05	
undsym_ixu	z80undoc	ld a,ixu	0	complete	DD 7C	
doc_iyl	z80	ld a,iyl	2	complete		error #1010: symbol undefined
