shape	ASL_EXIT	asl_diag	asl_hex	SIGIL_EXIT	sigil_hex
c01_cpu_same	0	complete	0000000c00000012aaaaeeee12340000000e5678	0	0000000c00000012aaaaeeeeccccdddd12340000000e5678
c02_phase	0	complete	0000800000000012aaaaeeee1234000080025678	0	0000800000000012aaaaeeeeccccdddd1234000080025678
c03_dephase	0	complete	0000000c00000012aaaaeeee12340000000e5678	0	0000000c00000012aaaaeeeeccccdddd12340000000e5678
c04_restore_z80_phased	0	complete	0000000a00000010aaee12340000000c5678	0	0000000a00000010aaeeccdd12340000000c5678
c05_org_forward_leaves	0	complete	0000004000000046aaaaeeeeccccdddd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001234000000425678	0	0000004000000046aaaaeeeeccccdddd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001234000000425678
c06_org_backward_leaves	0	complete	0000001000000016000000000000000012340000001256780000000000000000aaaaeeeeccccdddd	0	0000001000000016000000000000000012340000001256780000000000000000aaaaeeeeccccdddd
c07_seek_back_then_to_extent	0	complete	0000001000000016aaaaeeeeccccdddd1234000000125678	0	0000001000000016aaaaeeeeccccdddd1234000000125678
c08_two_seeks_short_of_extent	0	complete	0000000c00000012eeeebbbb12340000000e5678	0	0000000c00000012eeeebbbbccccdddd12340000000e5678
c09_seek_no_bytes_then_cpu	0	complete	0000000a00000010aaaa12340000000c5678	0	0000000a00000010aaaabbbbccccdddd12340000000c5678
c10_cpu_z80_unphased	0	complete	0000000c0000000eaaaaeeee12345678	1	-
c11_cpu_z80_phased	0	complete	0000800000000010aaaaeeee123402805678	0	0000800000000010aaaaeeeeccccdddd123402805678
c12_section_endsection	0	complete	0000000c00000012aaaaeeee12340000000e5678	1	-
c13_z80_host_cpu_same	0	complete	06000a00aaee123408005678	0	06000a00aaeeccdd123408005678
c14_restore_out_of_host	0	complete	0000800000000010aaaaeeee123402805678	0	0000800000000010aaaaeeeeccccdddd123402805678
SHAPES_RUN=14
RUN_END_MARKER
