a01_colon	plain colon label in body, read after the expansion
a02_bare_col0	colon-less column-0 label on a data line in body, read after
a03_bare_alone	colon-less column-0 label alone on its line in body, read after
a04_indented_colon	indented colon label in body, read after
a05_forward	plain colon label in body, read BEFORE the expansion
a06_later_other_macro	label from mdef read inside a LATER expansion of a different macro
a07_earlier_other_macro	label from mdef read inside an EARLIER expansion of a different macro
a08_defined_fn	DEFINED() of a body label, asked after the expansion
a09_ifdef	IFDEF of a body label, asked after the expansion
a10_dot_under_body_label	body `Lp:` then `.x:`, read `Lp.x` after
a11_scope_after_body_label_inner	body `Inner:`; after the call `.b := 2`; read `Inner.b`
a12_scope_after_body_label_base	body `Inner:`; after the call `.b := 2`; read `Base.b`
a13_twice_then_outside	macro invoked twice, then read from outside
b01_dot_colon	`.dl:` in body under a caller `Base:`, read `.dl` after
b02_dot_qualified	`.dl:` in body under `Base:`, read `Base.dl` after
b03_dot_no_scope	`.dl:` in body with no global label anywhere, read `.dl` after
b04_dot_bare_col0	colon-less column-0 `.dl` in body under `Base:`, read after
b05_dot_forward	`.dl:` in body under `Base:`, read BEFORE the expansion
c01_minus_after	column-1 `-` defined in body, `-` referenced after the expansion
c02_plus_before	`+` referenced before the expansion, column-1 `+` defined in body
c03_plus_before_outer_after	`+` before; body defines `+`; an OUTER `+` after (the mb.asm shape)
c04_slash_then_minus	column-1 `/` in body, `-` referenced after
c05_plus_before_slash	`+` referenced before; column-1 `/` in body
c06_inside_reads_outer_minus	outer `-` before the call; the body references `-`
c07_inside_reads_outer_plus	the body references `+`; outer `+` after the call
c08_minus_outer_before_body	outer `-` before; body defines `-`; `-` referenced after
c09_own_minus_control	body defines and references its own `-` (control)
c10_minus_rept_file	column-1 `-` inside a file-level `rept 1` body, `-` after
c11_minus_irp_file	column-1 `-` inside a file-level `irp` body, `-` after
c12_minus_while_file	column-1 `-` inside a file-level `while` body, `-` after
c13_minus_globalsymbols	column-1 `-` in a {GLOBALSYMBOLS} body, `-` after
c14_plus_before_twice	`+` before; the macro, which defines `+`, invoked twice
c15_minus_rept_in_macro	column-1 `-` in a `rept` inside a macro body, `-` after the expansion
d01_rept1	plain label in a file-level `rept 1` body, read after
d02_rept2	plain label in a file-level `rept 2` body, read after
d03_irp	plain label in a file-level `irp` body, read after
d04_irpc	plain label in a file-level `irpc` body, read after
d05_while	plain label in a file-level `while` body, read after
d06_irp_var_name	`irp` label spelled by the loop variable, read after
d07_rept_in_macro_read_in_body	label in a `rept` inside a macro body, read later in that body
d08_rept_in_macro_read_outside	label in a `rept` inside a macro body, read after the expansion
d09_irpc_var_name	`irpc` label spelled from the loop variable by interpolation, read after
e01_inner_label_outside	inner macro's label, read at file level after the outer returns
e02_outer_label_outside	outer body label (outer also calls inner), read after
e03_macro_defined_in_macro	a macro DEFINED inside a macro body, invoked at file level, its label read after
f_globalsymbols	plain colon label in a {GLOBALSYMBOLS} body, read after
f_noglobalsymbols	plain colon label in a {NOGLOBALSYMBOLS} body, read after
f_expand	plain colon label in a {EXPAND} body, read after
f_noexpand	plain colon label in a {NOEXPAND} body, read after
f_expif	plain colon label in a {EXPIF} body, read after
f_noexpif	plain colon label in a {NOEXPIF} body, read after
f_expmacro	plain colon label in a {EXPMACRO} body, read after
f_noexpmacro	plain colon label in a {NOEXPMACRO} body, read after
f_export	plain colon label in a {EXPORT} body, read after
f_noexport	plain colon label in a {NOEXPORT} body, read after
f_intlabel	plain colon label in a {INTLABEL} body, read after
f_globalsymbols_twice	{GLOBALSYMBOLS} body label, macro invoked twice (collision?)
f_globalsymbols_dot	{GLOBALSYMBOLS} body `.dl:` under `Base:`, read `.dl` after
f_globalsymbols_inside	{GLOBALSYMBOLS} body label read inside the body (control)
f_globalsymbols_forward	{GLOBALSYMBOLS} body label read BEFORE the expansion
f_globalsymbols_nested_inner	plain inner macro's label, inner called from a {GLOBALSYMBOLS} outer, read after
f_globalsymbols_intlabel	{INTLABEL,GLOBALSYMBOLS}: `__LABEL___Blocks:` read after
f_globalsymbols_lower	{globalsymbols} lower case under -U, read after
g01_intlabel_suffix	{INTLABEL} body `__LABEL___Blocks:`, read `Aint_Blocks` after
g02_intlabel_bare	{INTLABEL} body `__LABEL__:`, read `Aint` after
g03_intlabel_literal	{INTLABEL} body `__LABEL__Plc:` (not substituted), read `__LABEL__Plc` after
g04_brace_global	body `Lab{cnt}:` with a file-level `cnt`, read `Lab7` after
g05_brace_param	body `Lab{n}:` from parameter `n`, read `Lab3` after
g06_param_name_colon	label name arrives as argument text (`nm:`), read `Foo` after
g07_param_name_bare	label name arrives as argument text (column-0 `nm`), read `Foo` after
g08_param_name_dot	dotted name arrives as argument text under `Base:`, read `.foo` after
g09_param_name_twice	argument-text label, macro invoked twice with the SAME name
g10_brace_twice	body `Lab{n}:` invoked twice with the same n
g11_intlabel_suffix_twice	{INTLABEL} `__LABEL___Blocks:` invoked twice under the SAME label? (control on collision)
g12_param_name_inside	argument-text label read INSIDE the body (control)
g13_brace_inside	body `Lab{n}:` read inside the body as `Lab{n}` (control)
g14_allargs_name	label name via ALLARGS (`ALLARGS:`), read after
h01_enum	`enum` members declared in a body, read after
h02_equ_control	`equ` in body, read after (control: global)
h03_label_dir_control	`label *` in body, read after (control: global)
h04_nextenum	`nextenum` member declared in a body after a file-level `enum`, read after
i01_include_in_body	a label in a file INCLUDED from a macro body, read after
i02_include_in_body_twice	the included label, macro invoked twice (collision?)
i03_include_nameless	a column-1 `-` in a file included from a macro body, `-` after
