dc.b "a",$EE|61ee
dc.b "ab",$EE|6162ee
dc.b "abcde",$EE|6162636465ee
move.b #"a",d0|103c0061
move.w #"a",d0|303c0061
move.w #"ab",d0|303c6162
move.l #"abcd",d0|203c61626364
move.w "ab",d0|30386162
move.l "abcd",d0|203961626364
lea "abcd",a0|41f961626364
dc.b "a"+1,$EE|62ee
dc.b "ab"+1,$EE|6163ee
dc.b "abc"+1,$EE|616264ee
dc.b "abcd"+1,$EE|61626365ee
dc.b 1+"ab",$EE|6163ee
dc.b "aa"+255,$EE|6260ee
dc.b "ab"+256,$EE|6262ee
dc.b "\xff\xff\xff"+1,$EE|01000000ee
dc.b "\x00a"+1,$EE|62ee
dc.b "\x00ab"+1,$EE|6163ee
dc.b "a"+(0-97),$EE|ee
dc.b "a"+(-98),$EE|ffffffffee
dc.b "ab"+(0-1),$EE|6161ee
move.w #"ab"+1,d0|303c6163
move.l #"abcd"+1,d0|203c61626365
move.w "ab"+1,d0|30386163
dc.b "a"+"b",$EE|6162ee
dc.b "ab"+"cd",$EE|61626364ee
dc.b "abcd"+"e",$EE|6162636465ee
dc.b "a"+"b"+"c",$EE|616263ee
dc.b "abcde"+"f",$EE|616263646566ee
move.w #"a"+"b",d0|303c6162
move.l #"ab"+"cd",d0|203c61626364
move.w "a"+"b",d0|30386162
dc.w "ab"="ab"|0001
dc.w "ab"+1="ab"|0000
