pwd=/home/volence/sonic_hacks/.scratch/as-cli-define/probes asl_md5=61e672562465725a8c102288a7da9098 sigil=/home/volence/sonic_hacks/.scratch/as-cli-define/target-base/release/sigil
sigil 0.1.0 (1e146771)
  revision:  1e14677148765dd7f9fbd6fac4c18a86213547ec
  branch:    parcel/as-cli-define
  committed: 2026-09-25T06:03:27-04:00
DIFFER | value given | args: -D FOO=5 | asl: bytes 05 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | no value | args: -D FOO | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | comma list | args: -D FOO=1,BAR=2 | asl: bytes 0102 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | hex value | args: -D FOO=$10 | asl: bytes 10 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | in-file = after -D | args: -D FOO=5 | asl: refused rc=2 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | case: -D FOO, use foo | args: -D FOO=5 | asl: refused rc=2 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | if on -D, 0 | args: -D FOO=0 | asl: bytes 02 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | if on -D, 1 | args: -D FOO=1 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | in-file set after -D | args: -D FOO=5 | asl: bytes 07 | sigil: refused rc=2 (error: unexpected argument '-D')
MATCH | in-file equ after -D | args: -D FOO=5 | asl: refused rc=2 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | use, set, use | args: -D FOO=5 | asl: bytes 0507 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | repeated flag, distinct | args: -D FOO=1 -D BAR=2 | asl: bytes 0102 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | repeated flag, same name | args: -D FOO=1 -D FOO=2 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | same name twice in a list | args: -D FOO=1,FOO=2 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
DIFFER | bare then valued | args: -D FOO -D FOO=2 | asl: bytes 01 | sigil: refused rc=2 (error: unexpected argument '-D')
