pwd=/home/volence/sonic_hacks/.scratch/as-cli-define/probes asl_md5=61e672562465725a8c102288a7da9098 sigil=/home/volence/sonic_hacks/.scratch/as-cli-define/bin-tip/sigil
sigil 0.1.0 (329bc9be)
  revision:  329bc9be7ea0c69c106741008e735aacef9d2167
  branch:    parcel/as-cli-define
  committed: 2026-09-25T06:16:23-04:00
MATCH | value given | args: -D FOO=5 | asl: bytes 05 | sigil: bytes 05
MATCH | no value | args: -D FOO | asl: bytes 01 | sigil: bytes 01
MATCH | comma list | args: -D FOO=1,BAR=2 | asl: bytes 0102 | sigil: bytes 0102
MATCH | hex value | args: -D FOO=$10 | asl: bytes 10 | sigil: bytes 10
MATCH | in-file = after -D | args: -D FOO=5 | asl: refused rc=2 | sigil: refused rc=1 (d3.asm(2):1: error: variables cannot be redefined as constants: `FOO`)
MATCH | case: -D FOO, use foo | args: -D FOO=5 | asl: refused rc=2 | sigil: refused rc=1 (d4.asm(2):2: error: unresolved symbol `foo` for fixup in section sec0 at offset 0)
MATCH | if on -D, 0 | args: -D FOO=0 | asl: bytes 02 | sigil: bytes 02
MATCH | if on -D, 1 | args: -D FOO=1 | asl: bytes 01 | sigil: bytes 01
MATCH | in-file set after -D | args: -D FOO=5 | asl: bytes 07 | sigil: bytes 07
MATCH | in-file equ after -D | args: -D FOO=5 | asl: refused rc=2 | sigil: refused rc=1 (d7.asm(2):1: error: variables cannot be redefined as constants: `FOO`)
MATCH | use, set, use | args: -D FOO=5 | asl: bytes 0507 | sigil: bytes 0507
MATCH | repeated flag, distinct | args: -D FOO=1 -D BAR=2 | asl: bytes 0102 | sigil: bytes 0102
MATCH | repeated flag, same name | args: -D FOO=1 -D FOO=2 | asl: bytes 01 | sigil: bytes 01
MATCH | same name twice in a list | args: -D FOO=1,FOO=2 | asl: bytes 01 | sigil: bytes 01
MATCH | bare then valued | args: -D FOO -D FOO=2 | asl: bytes 01 | sigil: bytes 01
MATCH | valued then bare | args: -D FOO=5 -D FOO | asl: bytes 05 | sigil: bytes 05
MATCH | list, bare then valued | args: -D FOO,BAR=2 | asl: bytes 0102 | sigil: bytes 0102
MATCH | list of three | args: -D FOO=1,BAR=2,BAZ=3 | asl: bytes 0102 | sigil: bytes 0102
MATCH | trailing comma | args: -D FOO=5, | asl: bytes 05 | sigil: bytes 05
MATCH | empty value | args: -D FOO= | asl: bytes 01 | sigil: bytes 01
