def_A1	`A1:` defined, never read
def_a1	`a1:` defined, never read
def_D0	`D0:` defined, never read
def_d0	`d0:` defined, never read
def_SP	`SP:` defined, never read
def_sp	`sp:` defined, never read
def_A7	`A7:` defined, never read
def_USP	`USP:` defined, never read
def_SR	`SR:` defined, never read
def_CCR	`CCR:` defined, never read
def_PC	`PC:` defined, never read
def_A1_equ	`A1 equ 5`, never read
def_A1_set	`A1 set 5`, never read
lbl_imm	`A1:` label, `#A1`
lbl_imm_plus	`A1:` label, `#A1+2`
lbl_imm_sub	`A1:` label, `#Lab-A1`
lbl_imm_paren	`A1:` label, `#(A1)`
lbl_imm_lab	`A1:` label, `#A1+Lab` (z01's shape)
lbl_dcw	`A1:` label, `dc.w A1`
lbl_dcl	`A1:` label, `dc.l A1`
lbl_dcw_plus	`A1:` label, `dc.w A1+2`
lbl_dcl_sub	`A1:` label, `dc.l Lab-A1`
lbl_dcb_plus	`A1:` label, `dc.b A1-Lab+2`
lbl_pcrel	`A1:` label, `lea A1(pc),a0`
lbl_absw	`A1:` label, `move.w (A1).w,d0`
lbl_absl	`A1:` label, `move.w (A1).l,d0`
lbl_bare_move	`A1:` label, `move.w A1,d0` (bare: register direct?)
lbl_bare_lea	`A1:` label, `lea A1,a0`
lbl_bare_jsr	`A1:` label, `jsr A1`
lbl_bra	`A1:` label, `bra.w A1`
lbl_disp	`A1:` label, `move.w A1(a0),d0` (displacement)
lbl_disp_plus	`A1:` label, `move.w A1+2(a0),d0`
lbl_equ_rhs	`A1:` label, `X equ A1` then `dc.w X`
lbl_set_rhs	`A1:` label, `X set A1+2` then `dc.w X`
lbl_if_cmp	`A1:` label, `if A1=$1200`
lbl_ifdef	`A1:` label, `ifdef A1`
lbl_defined	`A1:` label, `if defined(A1)`
lbl_org	`A1:` label, `org A1+8`
lbl_a1_imm_plus	`a1:` label, `#a1+2`
lbl_a1_dcw_plus	`a1:` label, `dc.w a1+2`
lbl_D0_imm_plus	`D0:` label, `#D0+2`
lbl_D0_dcw_plus	`D0:` label, `dc.w D0+2`
lbl_d0_imm_plus	`d0:` label, `#d0+2`
lbl_d0_dcw_plus	`d0:` label, `dc.w d0+2`
lbl_SP_imm_plus	`SP:` label, `#SP+2`
lbl_SP_dcw_plus	`SP:` label, `dc.w SP+2`
lbl_sp_imm_plus	`sp:` label, `#sp+2`
lbl_sp_dcw_plus	`sp:` label, `dc.w sp+2`
lbl_A7_imm_plus	`A7:` label, `#A7+2`
lbl_A7_dcw_plus	`A7:` label, `dc.w A7+2`
lbl_USP_imm_plus	`USP:` label, `#USP+2`
lbl_USP_dcw_plus	`USP:` label, `dc.w USP+2`
lbl_SR_imm_plus	`SR:` label, `#SR+2`
lbl_SR_dcw_plus	`SR:` label, `dc.w SR+2`
lbl_CCR_imm_plus	`CCR:` label, `#CCR+2`
lbl_CCR_dcw_plus	`CCR:` label, `dc.w CCR+2`
lbl_PC_imm_plus	`PC:` label, `#PC+2`
lbl_PC_dcw_plus	`PC:` label, `dc.w PC+2`
case_A1_read_a1	`A1:` label, `#a1+2` (other case)
case_a1_read_A1	`a1:` label, `#A1+2` (other case)
equ_A1_imm	`A1 equ 5`, `#A1`
equ_A1_imm_plus	`A1 equ 5`, `#A1+2`
equ_A1_dcw	`A1 equ 5`, `dc.w A1`
equ_A1_dcw_plus	`A1 equ 5`, `dc.w A1+2`
set_a0_dcl	`a0 set 5`, `dc.l a0+1`
equ_A1_if	`A1 equ 5`, `if A1=5`
ctl_nodef_imm_plus	control: no `A1` defined, `#A1+2`
ctl_nodef_dcw_plus	control: no `A1` defined, `dc.w A1+2`
ctl_nodef_dcl	control: no `A1` defined, `dc.l A1`
cont_A1x	`A1x:` label, `#A1x+2` and `dc.w A1x`
cont_XA1	`XA1:` label, `#XA1+2` and `dc.w XA1`
cont_A1_2	`A1_2:` label, `#A1_2+2` and `dc.w A1_2`
cont_A10	`A10:` label, `#A10+2` and `dc.w A10`
cont_A8	`A8:` label, `#A8+2` and `dc.w A8`
cont_D8	`D8:` label, `#D8+2` and `dc.w D8`
cont_SP2	`SP2:` label, `#SP2+2` and `dc.w SP2`
cont_A1A1	`A1A1:` label, `#A1A1+2` and `dc.w A1A1`
cont_A1_local	`A1:` then `.l:`, read `A1.l`
